id,fecha_venta,id_sku,descripcion,categoria,id_canal,lead_time_dias,cantidad_vendida,inversion_usd,inversion_usd_lag1,inversion_usd_lag2,temperatura_promedio_celsius,dia_semana
1,2024-01-01,SKU_1L,Botella_1L,Personal,CH01,2,128,0.0,0.0,0.0,,0
2,2024-01-08,SKU_1L,Botella_1L,Personal,CH01,2,155,157.7925620622707,0.0,0.0,18.2735254394303,0
3,2024-01-19,SKU_1L,Botella_1L,Personal,CH01,2,220,265.6921637875748,157.7925620622707,0.0,25.726616001794845,4
4,2024-01-26,SKU_1L,Botella_1L,Personal,CH01,2,248,297.3414397601885,265.6921637875748,157.7925620622707,33.05904711203931,4
5,2024-01-27,SKU_1L,Botella_1L,Personal,CH01,2,253,135.5329495351994,297.3414397601885,265.6921637875748,19.592496989642274,5
6,2024-02-01,SKU_1L,Botella_1L,Personal,CH01,2,450,289.133357870696,135.5329495351994,297.3414397601885,36.86642904742807,3
7,2024-02-04,SKU_1L,Botella_1L,Personal,CH01,2,178,151.22497975835535,289.133357870696,135.5329495351994,32.49805611818864,6
8,2024-02-14,SKU_1L,Botella_1L,Personal,CH01,2,90,45.5602695001174,151.22497975835535,289.133357870696,20.951939576800388,2
9,2024-02-20,SKU_1L,Botella_1L,Personal,CH01,2,178,145.56474615392955,45.5602695001174,151.22497975835535,37.30044643858484,1
10,2024-02-21,SKU_1L,Botella_1L,Personal,CH01,2,132,102.09901607545808,145.56474615392955,45.5602695001174,32.82805493730564,2
11,2024-03-01,SKU_1L,Botella_1L,Personal,CH01,2,259,273.49817974769786,102.09901607545808,145.56474615392955,31.83586066166232,4
12,2024-03-04,SKU_1L,Botella_1L,Personal,CH01,2,118,35.76491719091446,273.49817974769786,102.09901607545808,30.75500902122282,0
13,2024-03-10,SKU_1L,Botella_1L,Personal,CH01,2,147,110.18216636328992,35.76491719091446,273.49817974769786,33.36078911623583,6
14,2024-03-13,SKU_1L,Botella_1L,Personal,CH01,2,384,250.1208166012997,110.18216636328992,35.76491719091446,15.127008693842855,2
15,2024-03-15,SKU_1L,Botella_1L,Personal,CH01,2,104,0.0,250.1208166012997,110.18216636328992,31.257718908495196,4
16,2024-03-19,SKU_1L,Botella_1L,Personal,CH01,2,266,123.77980117872946,0.0,250.1208166012997,23.24471175651827,1
17,2024-03-29,SKU_1L,Botella_1L,Personal,CH01,2,492,0.0,123.77980117872946,0.0,35.405893079255506,4
18,2024-04-04,SKU_1L,Botella_1L,Personal,CH01,2,114,0.0,0.0,123.77980117872946,32.7322451389549,3
19,2024-04-05,SKU_1L,Botella_1L,Personal,CH01,2,197,0.0,0.0,0.0,20.242508738464657,4
20,2024-04-06,SKU_1L,Botella_1L,Personal,CH01,2,180,186.35660029859784,0.0,0.0,20.56727124476451,5
21,2024-04-07,SKU_1L,Botella_1L,Personal,CH01,2,354,165.64578031135815,186.35660029859784,0.0,21.04650169798917,6
